ts_code,name,细分行业,price_now,RPS_50,rps_50_chg,RPS_120,RPS_250,连续天数,pe_ttm,mv_亿,turnover_rate,xueqiu_url,更新日期,初次入选
688485.SH,九州一轨,运输设备,81.35,99.36,0.38,99.85,99.85,12,,122.26,4.24,https://xueqiu.com/S/SH688485,2026-08-24,2026-08-07
688498.SH,源杰科技,半导体,1541.0,90.06,999.0,99.69,100.0,1,538.85,1893.77,2.78,https://xueqiu.com/S/SH688498,2026-08-24,2026-08-24
688530.SH,欧莱新材,半导体,62.92,90.97,999.0,97.06,98.35,1,5336.17,43.9,14.38,https://xueqiu.com/S/SH688530,2026-08-24,2026-08-24
688548.SH,广钢气体,化工原料,35.1,95.51,5.15,93.34,98.66,15,144.26,463.11,1.86,https://xueqiu.com/S/SH688548,2026-08-24,2026-07-31
688596.SH,正帆科技,专用机械,71.15,98.91,1.02,99.14,94.37,15,296.3,226.02,11.03,https://xueqiu.com/S/SH688596,2026-08-24,2026-07-31
688627.SH,精智达,专用机械,465.29,91.87,-0.75,97.41,99.74,14,522.99,437.97,4.64,https://xueqiu.com/S/SH688627,2026-08-24,2026-08-05
688630.SH,芯碁微装,专用机械,426.15,87.8,999.0,99.16,97.96,1,180.2,561.41,4.14,https://xueqiu.com/S/SH688630,2026-08-24,2026-08-24
688646.SH,逸飞激光,专用机械,70.2,89.82,-1.14,96.17,95.99,2,,42.63,3.36,https://xueqiu.com/S/SH688646,2026-08-24,2026-08-21
688652.SH,京仪装备,半导体,148.58,89.98,999.0,91.89,96.38,1,157.49,179.41,5.93,https://xueqiu.com/S/SH688652,2026-08-24,2026-08-24
688669.SH,聚石化学,化工原料,75.7,99.02,-0.13,99.72,98.09,57,,91.85,2.95,https://xueqiu.com/S/SH688669,2026-08-24,2026-05-22
688690.SH,纳微科技,化工原料,40.57,91.84,-4.43,95.73,88.36,5,93.65,163.83,3.67,https://xueqiu.com/S/SH688690,2026-08-24,2026-08-18
688702.SH,盛科通信,半导体,351.39,98.31,0.17,97.85,99.5,15,,713.29,3.83,https://xueqiu.com/S/SH688702,2026-08-24,2026-07-31
688710.SH,益诺思,生物制药,89.89,99.35,-0.21,97.52,95.08,24,,81.52,2.99,https://xueqiu.com/S/SH688710,2026-08-24,2026-07-20
920438.BJ,戈碧迦,元器件,106.0,98.04,-0.29,99.49,99.02,65,473.77,147.76,5.08,https://xueqiu.com/S/BJ920438,2026-08-24,2026-05-08
920699.BJ,海达尔,家用电器,81.6,99.47,-0.08,99.65,96.84,35,96.02,23.85,1.92,https://xueqiu.com/S/BJ920699,2026-08-24,2026-07-01
